MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,TOTAL
ABREU E LIMA,6,2,3,2,5,2,2,5,2,3,4,36
AFOGADOS DA INGAZEIRA,0,0,1,1,1,0,0,0,0,6,1,10
AFRANIO,1,0,0,0,0,1,0,0,1,0,0,3
AGRESTINA,0,0,2,0,0,0,1,0,1,1,0,5
AGUA PRETA,0,0,1,0,0,2,1,2,0,2,0,8
AGUAS BELAS,0,1,0,0,2,1,0,0,0,1,3,8
ALAGOINHA,0,0,0,0,0,0,0,1,0,1,0,2
ALIANCA,1,1,1,0,0,1,1,1,0,1,0,7
ALTINHO,0,1,1,1,0,1,1,1,0,0,2,8
AMARAJI,0,0,2,2,1,2,0,0,0,0,1,8
ANGELIM,0,1,0,0,0,0,0,0,1,0,0,2
ARACOIABA,1,0,0,0,1,0,1,0,5,1,0,9
ARARIPINA,1,1,4,0,3,3,8,6,1,6,2,35
ARCOVERDE,1,1,3,2,4,3,0,1,0,1,4,20
BARRA DE GUABIRABA,0,0,1,1,0,0,0,0,1,0,0,3
BARREIROS,0,1,0,0,2,0,0,1,1,1,0,6
BELEM DE MARIA,0,0,0,0,0,0,0,1,0,0,0,1
BELEM DE SAO FRANCISCO,0,0,0,1,2,0,0,0,0,0,0,3
BELO JARDIM,1,3,3,6,0,3,1,4,0,4,0,25
BETANIA,0,0,0,1,0,0,0,0,0,0,0,1
BEZERROS,2,1,0,1,0,1,1,1,2,1,0,10
BODOCO,0,0,2,1,1,0,3,1,3,0,1,12
BOM CONSELHO,2,0,1,1,1,1,2,0,0,0,3,11
BOM JARDIM,0,1,1,0,2,3,0,1,0,0,3,11
BONITO,1,0,4,0,1,3,1,2,1,1,0,14
BREJAO,0,1,0,0,0,1,0,1,0,0,0,3
BREJINHO,0,1,0,0,0,0,0,0,0,0,0,1
BREJO DA MADRE DE DEUS,0,0,2,0,2,0,0,4,2,0,2,12
BUENOS AIRES,0,0,0,0,0,0,0,0,1,0,1,2
BUIQUE,1,1,2,1,1,2,1,1,1,2,0,13
CABO DE SANTO AGOSTINHO,12,3,2,4,10,7,5,5,6,6,3,63
CABROBO,1,2,1,1,2,0,2,2,0,0,0,11
CACHOEIRINHA,1,0,1,1,1,0,1,0,1,0,1,7
CAETES,0,0,2,1,0,0,0,1,2,0,1,7
CALCADO,0,0,0,0,1,2,0,0,0,0,0,3
CALUMBI,0,0,0,0,0,0,0,0,0,0,0,0
CAMARAGIBE,3,4,5,3,5,4,4,0,3,2,5,38
CAMOCIM DE SAO FELIX,0,0,1,0,0,1,0,1,0,0,1,4
