MUNICIPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,TOTAL
ABREU E LIMA,65,37,53,40,45,43,39,44,50,31,33,480
AFOGADOS DA INGAZEIRA,36,27,40,32,45,25,20,27,33,32,48,365
AFRANIO,2,2,8,2,3,1,2,4,3,3,3,33
AGRESTINA,8,11,15,4,11,6,6,5,10,6,14,96
AGUA PRETA,5,6,5,2,4,11,4,4,2,2,5,50
AGUAS BELAS,12,14,16,12,21,11,7,9,12,14,13,141
ALAGOINHA,1,4,0,1,4,2,3,5,5,3,8,36
ALIANCA,15,8,20,7,8,12,2,7,6,13,9,107
ALTINHO,2,1,3,4,4,4,2,4,5,7,2,38
AMARAJI,4,5,4,5,3,3,1,7,2,2,3,39
ANGELIM,2,1,1,1,5,0,0,3,0,1,0,14
ARACOIABA,3,4,5,8,8,8,8,8,8,2,6,68
ARARIPINA,35,33,49,42,52,33,41,40,32,34,46,437
ARCOVERDE,37,45,75,46,57,58,57,57,62,57,65,616
BARRA DE GUABIRABA,3,2,4,0,0,0,5,1,3,4,3,25
BARREIROS,13,14,11,14,12,12,21,10,12,18,7,144
BELEM DE MARIA,1,0,2,3,1,1,2,2,4,4,3,23
BELEM DE SAO FRANCISCO,8,3,5,6,5,6,6,5,4,4,8,60
BELO JARDIM,35,21,22,24,27,33,20,30,30,44,41,327
BETANIA,1,0,4,3,2,0,4,2,6,2,1,25
BEZERROS,22,25,18,18,20,22,11,15,26,21,23,221
BODOCO,13,9,14,15,10,4,17,22,14,11,8,137
BOM CONSELHO,5,8,14,9,10,8,8,13,17,9,11,112
BOM JARDIM,6,16,7,6,9,14,4,12,11,8,9,102
BONITO,6,15,20,11,18,12,8,14,13,22,14,153
BREJAO,4,1,7,7,4,1,1,1,2,2,3,33
BREJINHO,6,1,6,3,7,3,2,7,6,3,9,53
BREJO DA MADRE DE DEUS,9,13,16,10,11,15,15,15,17,18,10,149
BUENOS AIRES,3,4,3,3,6,4,3,4,10,5,3,48
BUIQUE,17,21,32,19,17,12,9,15,8,26,21,197
CABO DE SANTO AGOSTINHO,90,74,78,81,98,74,88,97,87,91,94,952
CABROBO,30,22,29,19,18,19,19,14,24,19,26,239
CACHOEIRINHA,3,3,8,5,3,8,8,6,7,4,8,63
CAETES,17,8,15,6,11,5,0,7,9,5,3,86
CALCADO,0,1,7,1,4,2,2,2,3,1,0,23
CALUMBI,2,1,2,5,3,1,2,5,1,5,4,31
CAMARAGIBE,76,69,65,62,67,47,50,66,54,70,79,705
CAMOCIM DE SAO FELIX,4,5,3,4,7,4,6,4,7,8,7,59
CAMUTANGA,2,1,1,4,6,1,3,2,2,0,0,22
CANHOTINHO,5,12,7,11,13,6,7,7,11,10,10,99
CAPOEIRAS,7,4,3,1,4,2,5,5,3,4,1,39
CARNAIBA,4,14,6,12,7,5,7,9,5,12,9,90
CARNAUBEIRA DA PENHA,1,2,1,2,0,0,1,2,2,7,3,21
CARPINA,26,24,18,24,23,13,30,32,28,16,33,267
CARUARU,153,165,194,176,151,177,146,197,150,183,149,1841
CASINHAS,0,2,3,0,2,2,4,2,2,1,2,20
CATENDE,10,6,14,7,8,8,6,6,12,5,7,89
CEDRO,8,7,9,9,1,4,8,8,8,2,9,73
CHA DE ALEGRIA,3,2,6,8,1,1,0,5,3,7,0,36
CHA GRANDE,7,4,8,7,4,5,6,2,3,14,3,63
CONDADO,14,12,7,6,12,7,5,5,4,3,6,81
CORRENTES,1,5,3,3,3,2,5,1,4,5,3,35
CORTES,3,1,2,1,5,0,1,1,4,1,0,19
CUMARU,1,1,2,5,4,1,3,0,2,1,3,23
CUPIRA,4,7,8,21,9,12,3,3,13,6,9,95
CUSTODIA,14,14,11,14,17,22,10,17,10,9,16,154
DORMENTES,1,2,3,1,3,1,3,1,3,1,3,22
ESCADA,12,15,7,8,8,10,9,10,3,19,10,111
EXU,19,14,10,16,19,21,11,13,16,10,7,156
FEIRA NOVA,10,6,11,10,6,7,12,15,8,4,7,96
FERNANDO DE NORONHA,3,2,2,5,4,7,1,1,5,4,5,39
FERREIROS,4,2,6,9,0,3,3,3,3,1,1,35
FLORES,6,4,10,4,6,5,3,9,4,7,4,62
FLORESTA,23,14,16,22,21,9,21,13,10,18,15,182
FREI MIGUELINHO,3,4,3,2,4,2,2,3,2,4,2,31
GAMELEIRA,8,5,4,4,2,3,1,2,3,2,5,39
GARANHUNS,56,64,56,66,76,61,69,67,68,53,58,694
GLORIA DO GOITA,6,8,13,5,4,2,9,9,6,7,5,74
GOIANA,29,27,28,31,29,25,22,29,36,33,28,317
GRANITO,2,1,0,1,2,0,0,3,2,0,2,13
GRAVATA,31,32,23,24,19,31,28,20,27,31,33,299
IATI,1,1,4,3,2,2,0,5,3,1,5,27
IBIMIRIM,6,8,12,7,7,4,6,7,9,7,5,78
IBIRAJUBA,2,3,2,2,2,0,0,3,1,1,4,20
IGARASSU,56,41,48,47,48,28,33,35,45,34,48,463
IGUARACY,8,5,8,5,0,3,3,5,3,3,8,51
INAJA,7,3,2,6,6,2,8,5,5,4,4,52
INGAZEIRA,2,1,1,0,0,1,0,1,0,2,2,10
IPOJUCA,30,26,36,24,39,43,35,37,42,30,35,377
IPUBI,7,7,5,7,4,6,10,9,3,8,23,89
ITACURUBA,6,3,2,3,0,3,0,2,3,1,2,25
ITAIBA,9,4,4,5,3,6,4,9,8,8,6,66
ITAMARACA,11,10,12,8,9,5,20,18,10,14,21,138
ITAMBE,8,9,10,7,11,5,4,17,7,10,5,93
ITAPETIM,12,4,9,8,5,7,4,6,7,10,14,86
ITAPISSUMA,12,11,20,9,16,9,16,8,9,14,17,141
ITAQUITINGA,2,4,3,3,5,2,13,2,2,2,0,38
JABOATAO DOS GUARARAPES,262,213,286,254,251,256,256,242,236,279,271,2806
JAQUEIRA,4,2,0,1,5,3,1,3,2,8,2,31
JATAUBA,4,3,2,6,5,2,4,4,2,1,3,36
JATOBA,4,2,0,2,3,2,5,6,9,2,4,39
JOAO ALFREDO,2,5,9,10,6,6,4,2,6,2,8,60
JOAQUIM NABUCO,1,2,6,4,3,1,2,1,3,3,3,29
JUCATI,2,2,0,2,1,0,0,1,4,1,0,13
JUPI,5,2,3,4,2,2,9,5,8,2,3,45
JUREMA,4,3,3,7,3,6,4,3,2,2,1,38
LAGOA DO CARRO,4,9,4,1,7,2,2,7,0,6,6,48
LAGOA DE ITAENGA,1,3,4,3,0,2,6,9,5,4,15,52
LAGOA DO OURO,4,2,1,1,2,2,2,2,4,3,4,27
LAGOA DOS GATOS,0,3,3,3,8,5,2,1,6,2,3,36
LAGOA GRANDE,10,7,7,16,12,16,8,10,15,12,12,125
LAJEDO,12,9,12,16,10,14,19,11,15,13,21,152
LIMOEIRO,18,26,18,21,23,24,25,17,18,24,29,243
MACAPARANA,4,5,5,2,3,6,5,10,12,9,8,69
MACHADOS,5,4,7,6,0,1,1,3,1,3,2,33
MANARI,2,0,8,3,2,5,8,1,0,2,2,33
MARAIAL,0,0,1,1,2,3,0,0,0,0,2,9
MIRANDIBA,4,2,6,6,14,7,0,6,5,5,10,65
MOREILANDIA,6,6,7,5,4,3,5,4,5,4,3,52
MORENO,14,10,18,21,13,22,18,21,17,13,19,186
NAZARE DA MATA,8,7,8,14,15,11,13,9,22,12,8,127
OLINDA,210,178,216,157,160,165,171,179,157,193,193,1979
OROBO,5,4,2,8,5,2,1,5,6,1,4,43
OROCO,8,4,7,5,5,3,3,7,1,8,6,57
OURICURI,34,29,37,18,24,23,17,25,26,21,24,278
PALMARES,19,22,25,30,31,18,26,16,26,35,34,282
PALMEIRINA,0,2,9,1,0,1,0,0,0,0,3,16
PANELAS,1,7,3,1,4,3,9,4,6,3,6,47
PARANATAMA,2,1,0,6,4,3,2,5,4,3,3,33
PARNAMIRIM,8,7,2,4,8,6,6,4,11,6,5,67
PASSIRA,11,8,8,8,16,7,10,11,13,15,11,118
PAUDALHO,19,18,26,21,16,20,20,22,22,18,17,219
PAULISTA,186,158,205,181,165,170,181,162,157,150,148,1863
PEDRA,20,9,6,9,6,7,10,14,15,11,3,110
PESQUEIRA,29,18,22,19,24,25,24,20,21,27,29,258
PETROLANDIA,13,18,21,21,19,20,19,24,14,13,17,199
PETROLINA,226,216,280,238,210,220,212,254,186,210,249,2501
POCAO,2,0,5,4,0,3,2,6,1,4,5,32
POMBOS,11,4,7,4,5,7,4,6,8,6,8,70
PRIMAVERA,3,3,4,1,5,0,1,0,3,2,2,24
QUIPAPA,9,2,0,2,2,2,3,5,1,4,3,33
